Nome,URL da Imagem,Sede,Cor Primária,URL
Crimson Fox,https://www.salaooval.com.br/wp-content/uploads/2018/04/sp_crimson_fox.png,,#920202,https://www.salaooval.com.br/equipe/crimson-fox/
Itaquera Phantoms,https://www.salaooval.com.br/wp-content/uploads/2018/04/sp_itaquera_phamtons.png,,#0505c5,https://www.salaooval.com.br/equipe/itaquera-phantoms/
Interlagos Sharks,https://www.salaooval.com.br/wp-content/uploads/2018/04/sp_interlagos_sharks.png,,#114d7f,https://www.salaooval.com.br/equipe/interlagos-sharks/
Dark Owls FA,https://www.salaooval.com.br/wp-content/uploads/2018/04/rj_dark_owls_fa.png,,#928b62,https://www.salaooval.com.br/equipe/dark-owls/
Rio Football Academy,https://www.salaooval.com.br/wp-content/uploads/2018/04/rj_rio_football_academy_alt.png,,#707070,https://www.salaooval.com.br/equipe/rio-football-academy/
Sorocaba Eagles,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_sorocaba_eagles.png,,#064b2e,https://www.salaooval.com.br/equipe/sorocaba-eagles/
Santo André Golden Owls,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_golden_owls.png,,#f9cb11,https://www.salaooval.com.br/equipe/santo-andre-golden-owls/
São Paulo Black Devil,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_sao_paulo_black_devil.png,,#6a556b,https://www.salaooval.com.br/equipe/sao-paulo-black-devil/
São Paulo Sharks,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_sao_paulo_sharks.png,,#000000,https://www.salaooval.com.br/equipe/sao-paulo-sharks/
Guarulhos Red Warriors,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_guarulhos_red_warriors.png,,#f6231a,https://www.salaooval.com.br/equipe/guarulhos-red-warriors/
Old School,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_old_school.png,,#836f3d,https://www.salaooval.com.br/equipe/old-school/
Silver Warriors,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_silver_warriors-1.png,,#693d2a,https://www.salaooval.com.br/equipe/silver-warriors/
Air Force,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_air_force.png,,#a17340,https://www.salaooval.com.br/equipe/air-force/
Salto Flames,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_salto_flames.png,,#bf1f2b,https://www.salaooval.com.br/equipe/salto-flames/
Barretos Carcarás,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_barretos_carcaras.png,,#e77a1a,https://www.salaooval.com.br/equipe/barretos-carcaras/
Santa Bárbara Rednecks,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_santa_barbara_rednecks.png,,#0d1434,https://www.salaooval.com.br/equipe/santa-barbara-rednecks/
Zona Leste Bears,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_zona_leste_bears.png,,#6a442b,https://www.salaooval.com.br/equipe/zona-leste-bears/
Buzzards Engenharia Santos,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_buzzards_eng_santos.png,,#443630,https://www.salaooval.com.br/equipe/buzzards-engenharia-santos/
Linhares Panthers,https://www.salaooval.com.br/wp-content/uploads/2018/03/es_linhares_panthers.png,,#431d24,https://www.salaooval.com.br/equipe/linhares-panthers/
Revolution FA,https://www.salaooval.com.br/wp-content/uploads/2018/03/es_revolution_fa.png,,#2c3084,https://www.salaooval.com.br/equipe/revolution-fa/
Bauru Warhawks,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_bauru_warhawks.png,,#073d38,https://www.salaooval.com.br/equipe/bauru-warhawks/
Jahu Galo Strong,https://www.salaooval.com.br/wp-content/uploads/2018/03/sp_jau_galo_strong.png,,#177a3f,https://www.salaooval.com.br/equipe/jahu-galo-strong/
