Data,Mandante,Hor/Res,Visitante,Liga,Fase,Unnamed: 6,Torneio,Campo
2026-07-19 14:00:00,Spartans Football 2,14:00:0014:00,Caniballs Football,Superliga D2,,,superliga-2026,
2026-08-01 00:00:00,Manaus FA,00:00:0000:00,São Raimundo C. Cavaliers,Superliga D1,,,superliga-2026,
2026-08-01 00:00:00,Vasco Almirantes,00:00:0000:00,Spartans Football,Superliga D1,,,superliga-2026,
2026-08-01 00:00:00,Londrina Bristlebacks,00:00:0000:00,Coritiba Crocodiles,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Locomotiva FA,48 - 00,Ocelots FA,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Cuiabá Arsenal,00 - 14,Goiás FA,Superliga D1,,,superliga-2026,
2026-08-01 14:00:00,Coritiba Crocodiles B,14 - 09,JEC Gladiators,Superliga D2,,,superliga-2026,
2026-08-01 14:00:00,Tritões FA,19 - 20,Macaé Oilers,Superliga D2,,,superliga-2026,
2026-08-01 14:00:00,Arapongas Golden Phoenix,28 - 06,Maringá Pyros,Superliga D2,,,superliga-2026,
2026-08-01 14:30:00,Galo FA,55 - 00,Flamengo Imperadores,Superliga D1,,,superliga-2026,
2026-08-01 15:45:00,T-Rex,40 - 07,Santa Maria Soldiers,Superliga D1,,,superliga-2026,
2026-08-01 18:00:00,Corinthians Steamrollers,12 - 23,Caniballs Football,Superliga D2,,,superliga-2026,
2026-08-01 18:30:00,Cruzeiro FA,06 - 00,Gama Leões de Judá,Superliga D2,,,superliga-2026,
2026-08-02 00:00:00,Underdogs FA,00:00:0000:00,Bears FA,Superliga D2,,,superliga-2026,
2026-08-02 09:00:00,Tubarões do Cerrado,06 - 43,Rondonópolis Hawks,Superliga D1,,,superliga-2026,
2026-08-02 09:00:00,Brown Spiders 2,20 - 08,Curitiba Lions,Superliga D2,,,superliga-2026,
2026-08-02 10:00:00,Cavalaria 2 de Julho,50 - 15,Fortaleza Tritões,Superliga D1,,,superliga-2026,
2026-08-02 10:00:00,Tatuapé Monsters,33 - 35,Vikings FA,Superliga D2,,,superliga-2026,
2026-08-02 14:00:00,Recife Mariners,55 - 07,Caucaia Sabres,Superliga D1,,,superliga-2026,
2026-08-02 14:00:00,João Pessoa Espectros,20 - 36,Caruaru Wolves,Superliga D1,,,superliga-2026,
2026-08-02 14:00:00,Juventude FA,28 - 13,Bravos FA,Superliga D1,,,superliga-2026,
2026-08-02 14:00:00,Calvary Cavaliers,14 - 32,Ponta Grossa Phantoms,Superliga D2,,,superliga-2026,
No data available i,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,superliga-2026,
2026-08-02 14:30:00,Cascavel Olympians,21 - 06,Francisco Beltrão Red Feet,Superliga D2,,,superliga-2026,
2026-08-09 00:00:00,Brasília Pilots,00:00:0000:00,Lusa Jaguars,Superliga Feminina,,,superliga-2026,
2026-08-15 00:00:00,Curitiba Silverhawks,00:00:0000:00,Curitiba Phoenix,Superliga Feminina,,,superliga-2026,
2026-08-22 00:00:00,Manaus FA,00:00:0000:00,Porto Velho Miners,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Tubarões do Cerrado,00:00:0000:00,Cuiabá Arsenal,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Rondonópolis Hawks,00:00:0000:00,Goiás FA,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Fortaleza Tritões,00:00:0000:00,Caruaru Wolves,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Caucaia Sabres,00:00:0000:00,João Pessoa Espectros,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Recife Mariners,00:00:0000:00,Cavalaria 2 de Julho,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Spartans Football,00:00:0000:00,Guarulhos Rhynos,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Vasco Almirantes,00:00:0000:00,Galo FA,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Coritiba Crocodiles,00:00:0000:00,Brown Spiders,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Santa Maria Soldiers,00:00:0000:00,Juventude FA,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Bravos FA,00:00:0000:00,T-Rex,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Istepôs FA,00:00:0000:00,Londrina Bristlebacks,Superliga D1,,,superliga-2026,
2026-08-22 00:00:00,Coritiba Crocodiles B,00:00:0000:00,Brown Spiders 2,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,Arapongas Golden Phoenix,00:00:0000:00,Calvary Cavaliers,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,Francisco Beltrão Red Feet,00:00:0000:00,Chape FA,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,JEC Gladiators,00:00:0000:00,Curitiba Lions,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,Maringá Pyros,00:00:0000:00,Ponta Grossa Phantoms,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,Spartans Football 2,00:00:0000:00,Tatuapé Monsters,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,Ponte Preta Gorilas,00:00:0000:00,Taubaté Football,Superliga D2,,,superliga-2026,
2026-08-22 00:00:00,Caniballs Football,00:00:0000:00,Vikings FA,Superliga D2,,,superliga-2026,
2026-08-23 00:00:00,Underdogs FA,00:00:0000:00,Erechim Coroados,Superliga D2,,,superliga-2026,
2026-09-05 00:00:00,São Raimundo C. Cavaliers,00:00:0000:00,Manaus FA,Superliga D1,,,superliga-2026,
2026-09-05 00:00:00,Ocelots FA,00:00:0000:00,Spartans Football,Superliga D1,,,superliga-2026,
2026-09-05 00:00:00,Galo FA,00:00:0000:00,Guarulhos Rhynos,Superliga D1,,,superliga-2026,
2026-09-05 00:00:00,Flamengo Imperadores,00:00:0000:00,Locomotiva FA,Superliga D1,,,superliga-2026,
2026-09-05 00:00:00,Cascavel Olympians,00:00:0000:00,Francisco Beltrão Red Feet,Superliga D2,,,superliga-2026,
2026-09-06 00:00:00,Bears FA,00:00:0000:00,Underdogs FA,Superliga D2,,,superliga-2026,
2026-09-12 00:00:00,Fortaleza Tritões,00:00:0000:00,Recife Mariners,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,Caruaru Wolves,00:00:0000:00,Caucaia Sabres,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,Cavalaria 2 de Julho,00:00:0000:00,João Pessoa Espectros,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,T-Rex,00:00:0000:00,Coritiba Crocodiles,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,Londrina Bristlebacks,00:00:0000:00,Juventude FA,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,Santa Maria Soldiers,00:00:0000:00,Brown Spiders,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,Istepôs FA,00:00:0000:00,Bravos FA,Superliga D1,,,superliga-2026,
2026-09-12 00:00:00,Ponta Grossa Phantoms,00:00:0000:00,Arapongas Golden Phoenix,Superliga D2,,,superliga-2026,
2026-09-12 00:00:00,Brown Spiders 2,00:00:0000:00,JEC Gladiators,Superliga D2,,,superliga-2026,
2026-09-12 00:00:00,Calvary Cavaliers,00:00:0000:00,Maringá Pyros,Superliga D2,,,superliga-2026,
No data available i,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,superliga-2026,
2026-03-28 14:00:00,Uberlândia Lobos,18 - 13,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-04-11 14:00:00,Cruzeiro FA,14:00:0014:00,Vasco Almirantes,,,,campeonato-mineiro-2026,
2026-04-12 14:00:00,Uberlândia Lobos,14 - 29,Tubarões do Cerrado,,,,campeonato-mineiro-2026,
2026-04-25 14:00:00,Uberlândia Lobos,12 - 40,Vasco Almirantes,,,,campeonato-mineiro-2026,
2026-04-25 14:00:00,Cruzeiro FA,00 - 12,Tubarões do Cerrado,,,,campeonato-mineiro-2026,
