Data,Mandante,Hor/Res,Visitante,Liga,Fase,Unnamed: 6,Torneio,Campo
2025-05-10 14:00:00,Flamengo Imperadores,33 - 07,Tritões FA,,,,campeonato-mineiro-2025,
2025-05-10 19:00:57,Cruzeiro FA,37 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-05-17 14:00:53,Forgeds Tigres,00 - 27,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-05-31 14:00:58,Cruzeiro FA,55 - 00,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-06-14 14:00:20,Galo FA,49 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-06-15 10:00:21,Locomotiva FA,42 - 00,Forgeds Tigres,,,,campeonato-mineiro-2025,
2025-05-10 14:00:00,Flamengo Imperadores,33 - 07,Tritões FA,,,,campeonato-mineiro-2025,
2025-05-10 19:00:57,Cruzeiro FA,37 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-05-17 14:00:53,Forgeds Tigres,00 - 27,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-05-31 14:00:58,Cruzeiro FA,55 - 00,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-06-14 14:00:20,Galo FA,49 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-06-15 10:00:21,Locomotiva FA,42 - 00,Forgeds Tigres,,,,campeonato-mineiro-2025,
2025-06-28 14:30:53,Locomotiva FA,19 - 13,Cruzeiro FA,,,,campeonato-mineiro-2025,
2025-05-10 14:00:00,Flamengo Imperadores,33 - 07,Tritões FA,,,,campeonato-mineiro-2025,
2025-05-10 19:00:57,Cruzeiro FA,37 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-05-17 14:00:53,Forgeds Tigres,00 - 27,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-05-31 14:00:58,Cruzeiro FA,55 - 00,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-06-14 14:00:20,Galo FA,49 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-06-15 10:00:21,Locomotiva FA,42 - 00,Forgeds Tigres,,,,campeonato-mineiro-2025,
2025-06-28 14:30:53,Locomotiva FA,19 - 13,Cruzeiro FA,,,,campeonato-mineiro-2025,
2025-06-29 11:00:48,Galo FA,49 - 13,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-05-10 14:00:00,Flamengo Imperadores,33 - 07,Tritões FA,,,,campeonato-mineiro-2025,
2025-05-10 19:00:57,Cruzeiro FA,37 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-05-17 14:00:53,Forgeds Tigres,00 - 27,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-05-31 14:00:58,Cruzeiro FA,55 - 00,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-06-14 14:00:20,Galo FA,49 - 00,Juiz de Fora Imperadores,,,,campeonato-mineiro-2025,
2025-06-15 10:00:21,Locomotiva FA,42 - 00,Forgeds Tigres,,,,campeonato-mineiro-2025,
2025-06-28 14:30:53,Locomotiva FA,19 - 13,Cruzeiro FA,,,,campeonato-mineiro-2025,
2025-06-29 11:00:48,Galo FA,49 - 13,Uberlândia Lobos,,,,campeonato-mineiro-2025,
2025-07-12 15:00:42,Galo FA,07 - 23,Locomotiva FA,,,,campeonato-mineiro-2025,
2025-03-08 14:00:46,Coritiba Crocodiles,35 - 13,Ponta Grossa Phantoms,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-03-09 14:00:00,Londrina Bristlebacks,61 - 00,Cascavel Olympians,,,,campeonato-paranaense-2025,Estádio do Café - Londrina/PR
2025-03-09 14:00:00,Curitiba Lions,06 - 21,PRC Guardian Saints,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-03-15 18:00:00,Francisco Beltrão Red Feet,06 - 19,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,Estádio Anilado - Francisco Beltrão/PR
2025-03-16 14:00:00,Calvary Cavaliers,16 - 13,Brown Spiders,,,,campeonato-paranaense-2025,Centro Esportivo Fanático - Campo Largo/PR
2025-03-23 14:00:00,Maringá Pyros,00 - 35,Londrina Bristlebacks,,,,campeonato-paranaense-2025,Maringá/PR
2025-03-23 14:00:00,PRC Guardian Saints,00 - 59,Coritiba Crocodiles,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-03-29 14:00:00,Cascavel Olympians,07 - 69,Brown Spiders,,,,campeonato-paranaense-2025,Cascavel/PR
2025-03-30 10:00:00,Curitiba Lions,06 - 34,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-04-06 09:00:00,Maringá Pyros,07 - 44,Calvary Cavaliers,,,,campeonato-paranaense-2025,Maringá/PR
2025-04-06 10:00:00,Coritiba Crocodiles,52 - 00,Francisco Beltrão Red Feet,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-04-12 14:00:00,Brown Spiders,10 - 05,Londrina Bristlebacks,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-04-12 20:00:00,Arapongas Golden Phoenix,16 - 14,PRC Guardian Saints,,,,campeonato-paranaense-2025,Arapongas/PR
2025-04-13 14:30:00,Ponta Grossa Phantoms,60 - 00,Curitiba Lions,,,,campeonato-paranaense-2025,Ponta Grossa/PR
2025-04-27 10:00:00,Arapongas Golden Phoenix,00 - 60,Coritiba Crocodiles,,,,campeonato-paranaense-2025,Arapongas/PR
2025-04-27 10:00:00,Londrina Bristlebacks,33 - 28,Calvary Cavaliers,,,,campeonato-paranaense-2025,Estádio do Café - Londrina/PR
2025-04-27 14:00:00,PRC Guardian Saints,00 - 28,Ponta Grossa Phantoms,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-05-03 16:00:00,Francisco Beltrão Red Feet,34 - 27,Curitiba Lions,,,,campeonato-paranaense-2025,Estádio Anilado - Francisco Beltrão/PR
2025-05-04 10:00:00,Cascavel Olympians,06 - 23,Maringá Pyros,,,,campeonato-paranaense-2025,Cascavel/PR
2025-05-18 10:00:00,Calvary Cavaliers,86 - 00,Cascavel Olympians,,,,campeonato-paranaense-2025,Centro Esportivo Fanático - Campo Largo/PR
2025-05-18 10:00:00,Ponta Grossa Phantoms,38 - 08,Francisco Beltrão Red Feet,,,,campeonato-paranaense-2025,Ponta Grossa/PR
2025-05-18 10:00:00,Brown Spiders,57 - 00,Maringá Pyros,,,,campeonato-paranaense-2025,Croco Stadium - Curitiba/PR
2025-06-01 10:00:03,Calvary Cavaliers,48 - 00,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,
2025-06-01 10:00:03,Calvary Cavaliers,48 - 00,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,
2025-06-01 14:00:02,Ponta Grossa Phantoms,14 - 25,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-01 10:00:03,Calvary Cavaliers,48 - 00,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,
2025-06-01 14:00:02,Ponta Grossa Phantoms,14 - 25,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-08 14:43:10,Brown Spiders,10 - 09,Calvary Cavaliers,,,,campeonato-paranaense-2025,
2025-06-01 10:00:03,Calvary Cavaliers,48 - 00,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,
2025-06-01 14:00:02,Ponta Grossa Phantoms,14 - 25,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-08 14:43:10,Brown Spiders,10 - 09,Calvary Cavaliers,,,,campeonato-paranaense-2025,
2025-06-14 14:30:30,Coritiba Crocodiles,28 - 06,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-01 10:00:03,Calvary Cavaliers,48 - 00,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,
2025-06-01 14:00:02,Ponta Grossa Phantoms,14 - 25,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-08 14:43:10,Brown Spiders,10 - 09,Calvary Cavaliers,,,,campeonato-paranaense-2025,
2025-06-14 14:30:30,Coritiba Crocodiles,28 - 06,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-21 14:00:09,Arapongas Golden Phoenix,12 - 16,Ponta Grossa Phantoms,,,,campeonato-paranaense-2025,
2025-06-01 10:00:03,Calvary Cavaliers,48 - 00,Arapongas Golden Phoenix,,,,campeonato-paranaense-2025,
2025-06-01 14:00:02,Ponta Grossa Phantoms,14 - 25,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-08 14:43:10,Brown Spiders,10 - 09,Calvary Cavaliers,,,,campeonato-paranaense-2025,
2025-06-14 14:30:30,Coritiba Crocodiles,28 - 06,Londrina Bristlebacks,,,,campeonato-paranaense-2025,
2025-06-21 14:00:09,Arapongas Golden Phoenix,12 - 16,Ponta Grossa Phantoms,,,,campeonato-paranaense-2025,
2025-06-29 14:30:07,Coritiba Crocodiles,27 - 10,Brown Spiders,,,,campeonato-paranaense-2025,
2025-03-16 14:00:00,Empyreo Leme Lizards,07 - 21,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-03-23 10:00:00,Franca Carrascos,20 - 06,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-03-23 10:00:00,São José Jets,56 - 00,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2025,
2025-03-23 10:00:00,Krakens Football,00 - 38,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-03-23 14:00:00,Ocelots FA,14 - 00,Moura Lacerda Dragons,SPFL Diamante,,,spfl-2025,
2025-03-23 14:00:00,Vikings FA,36 - 13,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-03-23 14:00:00,Avaré Lions,00 - 29,Guarani Indians,SPFL Ouro,,,spfl-2025,
2025-03-30 14:00:00,Tatuapé Monsters,27 - 20,Caniballs Football,SPFL Ouro,,,spfl-2025,
2025-04-06 10:00:00,Spartans Football,35 - 09,Empyreo Leme Lizards,SPFL Diamante,,,spfl-2025,
2025-04-06 14:00:00,Guarulhos Rhynos,28 - 03,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-04-13 10:00:00,Assis Captains,03 - 25,Franca Carrascos,SPFL Ouro,,,spfl-2025,
2025-04-13 10:00:00,Avaré Lions,20 - 08,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-04-13 10:00:00,Taubaté Football,06 - 20,Tatuapé Monsters,SPFL Ouro,,,spfl-2025,
2025-04-13 10:00:00,São José Jets,13 - 06,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-04-13 14:00:00,Moura Lacerda Dragons,41 - 00,Werewolves Football,SPFL Diamante,,,spfl-2025,
2025-04-13 14:00:00,Ocelots FA,38 - 14,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-04-13 14:00:00,Caraguá Ghostship,08 - 12,Caniballs Football,SPFL Ouro,,,spfl-2025,
2025-04-13 14:00:00,Black Panthers Football,00 - 13,Krakens Football,SPFL Prata,,,spfl-2025,
2025-04-27 10:00:00,Rio Preto Weilers,41 - 00,Empyreo Leme Lizards,SPFL Diamante,,,spfl-2025,
2025-04-27 10:00:00,Assis Captains,03 - 47,Guarani Indians,SPFL Ouro,,,spfl-2025,
2025-04-27 10:00:00,Franca Carrascos,23 - 00,Avaré Lions,SPFL Ouro,,,spfl-2025,
2025-04-27 14:00:00,Spartans Football,42 - 03,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-04-27 14:00:00,Piracicaba Cane Cutters,00 - 27,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-05-04 10:00:00,Corinthians Steamrollers,13 - 00,Werewolves Football,SPFL Diamante,,,spfl-2025,
2025-05-04 10:00:00,Rio Preto Weilers,27 - 26,Guarulhos Rhynos,SPFL Diamante,,,spfl-2025,
2025-05-04 10:00:00,Black Panthers Football,00 - 42,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-05-04 14:00:00,Ocelots FA,35 - 06,Vikings FA,SPFL Diamante,,,spfl-2025,
2025-05-04 14:00:00,Caraguá Ghostship,00 - 35,Tatuapé Monsters,SPFL Ouro,,,spfl-2025,
2025-05-10 14:00:00,Rio Preto Weilers,49 - 00,Spartans Football,SPFL Diamante,,,spfl-2025,
2025-05-18 10:00:00,Ocelots FA,39 - 06,Werewolves Football,SPFL Diamante,,,spfl-2025,
2025-05-18 10:00:00,Moura Lacerda Dragons,44 - 12,Vikings FA,SPFL Diamante,,,spfl-2025,
2025-05-18 10:00:00,Assis Captains,11 - 06,Avaré Lions,SPFL Ouro,,,spfl-2025,
2025-05-18 14:00:00,Guarulhos Rhynos,49 - 12,Empyreo Leme Lizards,SPFL Diamante,,,spfl-2025,
2025-05-18 14:00:00,Ponte Preta Gorilas,06 - 48,Guarani Indians,SPFL Ouro,,,spfl-2025,
2025-05-25 10:00:00,Caraguá Ghostship,00 - 20,Taubaté Football,SPFL Ouro,,,spfl-2025,
2025-05-25 10:00:00,Krakens Football,40 - 00,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2025,
2025-05-25 14:00:00,São José Jets,21 - 00,Black Panthers Football,SPFL Prata,,,spfl-2025,
2025-06-01 10:00:00,Moura Lacerda Dragons,43 - 10,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-06-01 10:00:00,Guarulhos Rhynos,49 - 00,Spartans Football,SPFL Diamante,,,spfl-2025,
2025-06-01 10:00:00,Assis Captains,07 - 06,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-06-29 10:00:15,Rio Preto Weilers,13 - 07,Moura Lacerda Dragons,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-06-29 10:00:15,Rio Preto Weilers,13 - 07,Moura Lacerda Dragons,,,,spfl-2025,
2025-06-29 14:00:07,Ocelots FA,03 - 20,Guarulhos Rhynos,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-06-29 10:00:15,Rio Preto Weilers,13 - 07,Moura Lacerda Dragons,,,,spfl-2025,
2025-06-29 14:00:07,Ocelots FA,03 - 20,Guarulhos Rhynos,,,,spfl-2025,
2025-07-12 18:30:38,Rio Preto Weilers,16 - 10,Guarulhos Rhynos,,,,spfl-2025,
2025-03-16 14:00:00,Empyreo Leme Lizards,07 - 21,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-03-23 10:00:00,Franca Carrascos,20 - 06,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-03-23 10:00:00,São José Jets,56 - 00,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2025,
2025-03-23 10:00:00,Krakens Football,00 - 38,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-03-23 14:00:00,Ocelots FA,14 - 00,Moura Lacerda Dragons,SPFL Diamante,,,spfl-2025,
2025-03-23 14:00:00,Vikings FA,36 - 13,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-03-23 14:00:00,Avaré Lions,00 - 29,Guarani Indians,SPFL Ouro,,,spfl-2025,
2025-03-30 14:00:00,Tatuapé Monsters,27 - 20,Caniballs Football,SPFL Ouro,,,spfl-2025,
2025-04-06 10:00:00,Spartans Football,35 - 09,Empyreo Leme Lizards,SPFL Diamante,,,spfl-2025,
2025-04-06 14:00:00,Guarulhos Rhynos,28 - 03,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-04-13 10:00:00,Assis Captains,03 - 25,Franca Carrascos,SPFL Ouro,,,spfl-2025,
2025-04-13 10:00:00,Avaré Lions,20 - 08,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-04-13 10:00:00,Taubaté Football,06 - 20,Tatuapé Monsters,SPFL Ouro,,,spfl-2025,
2025-04-13 10:00:00,São José Jets,13 - 06,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-04-13 14:00:00,Moura Lacerda Dragons,41 - 00,Werewolves Football,SPFL Diamante,,,spfl-2025,
2025-04-13 14:00:00,Ocelots FA,38 - 14,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-04-13 14:00:00,Caraguá Ghostship,08 - 12,Caniballs Football,SPFL Ouro,,,spfl-2025,
2025-04-13 14:00:00,Black Panthers Football,00 - 13,Krakens Football,SPFL Prata,,,spfl-2025,
2025-04-27 10:00:00,Rio Preto Weilers,41 - 00,Empyreo Leme Lizards,SPFL Diamante,,,spfl-2025,
2025-04-27 10:00:00,Assis Captains,03 - 47,Guarani Indians,SPFL Ouro,,,spfl-2025,
2025-04-27 10:00:00,Franca Carrascos,23 - 00,Avaré Lions,SPFL Ouro,,,spfl-2025,
2025-04-27 14:00:00,Spartans Football,42 - 03,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-04-27 14:00:00,Piracicaba Cane Cutters,00 - 27,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-05-04 10:00:00,Corinthians Steamrollers,13 - 00,Werewolves Football,SPFL Diamante,,,spfl-2025,
2025-05-04 10:00:00,Rio Preto Weilers,27 - 26,Guarulhos Rhynos,SPFL Diamante,,,spfl-2025,
2025-05-04 10:00:00,Black Panthers Football,00 - 42,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-05-04 14:00:00,Ocelots FA,35 - 06,Vikings FA,SPFL Diamante,,,spfl-2025,
2025-05-04 14:00:00,Caraguá Ghostship,00 - 35,Tatuapé Monsters,SPFL Ouro,,,spfl-2025,
2025-05-10 14:00:00,Rio Preto Weilers,49 - 00,Spartans Football,SPFL Diamante,,,spfl-2025,
2025-05-18 10:00:00,Ocelots FA,39 - 06,Werewolves Football,SPFL Diamante,,,spfl-2025,
2025-05-18 10:00:00,Moura Lacerda Dragons,44 - 12,Vikings FA,SPFL Diamante,,,spfl-2025,
2025-05-18 10:00:00,Assis Captains,11 - 06,Avaré Lions,SPFL Ouro,,,spfl-2025,
2025-05-18 14:00:00,Guarulhos Rhynos,49 - 12,Empyreo Leme Lizards,SPFL Diamante,,,spfl-2025,
2025-05-18 14:00:00,Ponte Preta Gorilas,06 - 48,Guarani Indians,SPFL Ouro,,,spfl-2025,
2025-05-25 10:00:00,Caraguá Ghostship,00 - 20,Taubaté Football,SPFL Ouro,,,spfl-2025,
2025-05-25 10:00:00,Krakens Football,40 - 00,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2025,
2025-05-25 14:00:00,São José Jets,21 - 00,Black Panthers Football,SPFL Prata,,,spfl-2025,
2025-06-01 10:00:00,Moura Lacerda Dragons,43 - 10,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-06-01 10:00:00,Guarulhos Rhynos,49 - 00,Spartans Football,SPFL Diamante,,,spfl-2025,
2025-06-01 10:00:00,Assis Captains,07 - 06,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-06-29 10:00:15,Rio Preto Weilers,13 - 07,Moura Lacerda Dragons,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-06-29 10:00:15,Rio Preto Weilers,13 - 07,Moura Lacerda Dragons,,,,spfl-2025,
2025-06-29 14:00:07,Ocelots FA,03 - 20,Guarulhos Rhynos,,,,spfl-2025,
2025-07-06 10:00:10,São José Jets,35 - 14,Vikings Berserker,,,,spfl-2025,
2025-06-22 10:00:44,Tatuapé Monsters,21 - 00,Franca Carrascos,,,,spfl-2025,
2025-06-22 14:00:40,Guarani Indians,14 - 07,Caniballs Football,,,,spfl-2025,
2025-07-06 14:00:51,Tatuapé Monsters,36 - 08,Guarani Indians,,,,spfl-2025,
2025-06-15 10:00:45,Moura Lacerda Dragons,20 - 16,Sorocaba Vipers,,,,spfl-2025,
2025-06-15 14:00:25,Guarulhos Rhynos,37 - 18,Vikings FA,,,,spfl-2025,
2025-06-29 10:00:15,Rio Preto Weilers,13 - 07,Moura Lacerda Dragons,,,,spfl-2025,
2025-06-29 14:00:07,Ocelots FA,03 - 20,Guarulhos Rhynos,,,,spfl-2025,
2025-07-12 18:30:38,Rio Preto Weilers,16 - 10,Guarulhos Rhynos,,,,spfl-2025,
2025-03-16 14:00:00,Empyreo Leme Lizards,07 - 21,Sorocaba Vipers,SPFL Diamante,,,spfl-2025,
2025-03-23 10:00:00,Franca Carrascos,20 - 06,Ponte Preta Gorilas,SPFL Ouro,,,spfl-2025,
2025-03-23 10:00:00,São José Jets,56 - 00,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2025,
2025-03-23 10:00:00,Krakens Football,00 - 38,Vikings Berserker,SPFL Prata,,,spfl-2025,
2025-03-23 14:00:00,Ocelots FA,14 - 00,Moura Lacerda Dragons,SPFL Diamante,,,spfl-2025,
2025-03-23 14:00:00,Vikings FA,36 - 13,Corinthians Steamrollers,SPFL Diamante,,,spfl-2025,
2025-03-23 14:00:00,Avaré Lions,00 - 29,Guarani Indians,SPFL Ouro,,,spfl-2025,
